id,latitude,longitude,gps_height
11575,-4.5086608,30.11987732,1272.0
55923,-4.46512706,37.20249683,1333.0
26731,-3.20215236,37.61765797,1366.0
59153,-11.00888797,37.45632811,490.0
57370,-6.27131635,37.50197467,353.0
25541,-4.61763142,30.22096502,1164.0
11164,-6.12482968,37.63405278,351.0
31466,-6.68763252,36.093538,
38940,-3.95466325,34.32014553,1350.9817073170732
53884,-6.32852164,31.22169224,1130.0
27522,-2.66930182,32.99046009,1199.6430517711171
33311,-3.491473498386449,33.244878601396124,1350.9817073170732
11266,-10.60281279,39.48570406,336.0
13317,-4.70261178,38.11140416,419.0
36823,-6.84217298,33.25824958,
61990,-8.00300909,38.77507907,7.0
13137,-10.24354943,39.4477615,83.0
73478,-5.1739432,35.86972976,
43891,-2.51594712,35.60966172,1208.0
7327,-3.18295095,37.2042948,1661.0
47201,-9.44740758,33.81944924,
17726,-4.99231437,30.29224238,1214.0
38966,-1.35401584,34.55255626,1639.0
30649,-9.21562356,35.18117387,1538.0
46600,-4.30846095,38.05531465,495.0
17794,-3.85041609,33.24568198,1350.9817073170732
58515,-10.49251553,35.89342499,873.0
35735,-9.30683715,34.00979387,2073.0
50082,-7.55492508,37.04356384,330.0
33874,-9.35435671,33.11519886,
53219,-4.28205812,33.88438749,
69852,-1.63272995,34.34835579999999,1230.0
42511,-6.53872006,38.98809741,8.0
28700,-3.23908435,37.00434447,1266.0
34489,-7.00800854,39.53433925,-12.0
49234,-3.11586873,33.01441244,1199.6430517711171
9611,-8.67967277,35.86213786,307.0
38409,-4.74132021,29.72930356,1024.0
3903,-3.39852481,36.95717161,1052.0
64789,-3.59781663,32.05448802,1350.9817073170732
54294,-9.05383498,34.64007125,1669.0
19650,-1.46906548,34.61384339,1545.0
41334,-9.99077466,38.96725752,280.0
18099,-2.51197054,32.69115325,1199.6430517711171
56813,-2.79555167,31.46426895,23.0
20180,-9.95510903,38.90645638,232.0
74044,-2.46937906,30.80540547,23.0
2680,-6.79174045,38.86048332,124.0
8476,-3.25888006,37.19934931,1190.0
31629,-7.54401872,39.12785724,91.0
23790,-6.43366432,38.89825929,-23.0
52717,-8.053063900000001,31.49916524,1790.0
18988,-3.22161094,37.02581387,1239.0
53572,-4.914299099999999,34.65581793,1444.0
24554,-4.60366048,29.8697161,1108.0
11511,-8.91047717,36.82454288,321.0
63190,-9.19811269,34.70736999,1927.0
71714,-9.3304189,33.87042995,
